date,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскомбанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2020-03-31,93585562.49584,70784781.54387,32049162.0365,24091664.32419,39038259.77225,0.0,2742051.50757,1884.29285,25650279.15523,51602898.17502,21998883.98406,3306.74138
2020-06-30,101995904.30463,80868673.70419,32126456.04131,24751983.18255,46433111.83617,0.0,2895480.68248,1773.59401,27857293.11779,54211704.33624,22869231.332560003,207.08257
2020-09-30,105914525.38235,87132404.33527,33864514.14688,25379397.22602,54362680.876,0.0,3033544.95772,1990.82323,29360367.84649,58786340.25179,24648958.04944,213.55898
2020-12-31,112519564.17065,91253129.46276,33463124.67477,27168619.24554,64375410.94837,0.0,3186454.19236,1862.98901,31314249.54555,63205617.44244,25733871.24626,145.19369
2021-03-31,118270275.65056,95539732.11712,35332220.78258,29081593.77536,74511443.78995,0.0,3223867.03731,1738.15677,33077771.07603,66007064.75487,26101936.85618,0.0
2021-06-30,125911007.18944,99742781.10779,36482202.48175,30809256.74554,81488877.55928001,0.0,3425450.33955,1678.44499,33506614.00808,66003613.58918,25829049.19865,0.0
2021-09-30,130151118.29371,99591549.12922,38056169.64404,32134875.72797,88346936.58812,0.0,3476006.73118,1658.68836,33531724.59439,66457104.11985,25372103.85069,0.0
2021-12-31,138505763.64790002,103633672.65491,39998241.50117,34640787.411249995,101669143.91465,0.0,3673476.24619,1667.29129,36146168.78227,68572850.46157,25403115.73825,0.0
2022-03-31,149317730.88191,111505395.84022,37612538.72507,37366147.17879,119215537.28737,0.0,3406565.44447,1722.63404,39060372.13487,74175299.82034001,26559456.63484,0.0
2022-06-30,160131538.61259,124185736.40916,32441690.61616,38108523.18932,131296662.76085,0.0,3065643.9303,1720.58293,40700212.20875,76325724.44579,26934027.78985,0.0
2022-09-30,172693488.93150002,142325820.31737,35429986.81301,43988791.99492,149457196.54999,0.0,3260402.92782,1924.17272,44997110.66374,84858696.9578,29889357.74444,0.0
2022-12-31,186528504.90855,146211096.79122,36006504.67545,46270223.27727,174171555.69354,0.0,3396454.80411,1927.08111,45007272.89477,87179328.99936,30252130.588590004,0.0
2023-03-31,196136248.07771,149679749.15234,37849390.33373,48625628.42211,193962837.44394,0.0,3414201.37274,1933.07801,47172754.9856,90135917.58101,31033822.29356,0.0
2023-06-30,189026530.17764,155873931.40435,40374144.09075,51009055.18303,203385395.03713,0.0,3585819.27181,1939.25315,48990379.12785,90350463.92905,31300444.94889,0.0
2023-09-30,191795863.73862,159822155.69556,44253536.16951,54542385.0817,215225379.83624,0.0,3732229.6741,1941.22168,51601409.68099,88845875.73319,31662520.57382,0.0
2023-12-31,199194044.82677,166227177.85025,46742627.4321,57658391.17689,238091723.22743,0.0,4006107.85437,1954.8994,54769276.90205,89728508.20614,33570128.18373,0.0
2024-03-31,204772942.24013,169223705.55756,48234579.36442,60320700.80754,253334876.53691,0.0,4066900.36176,1995.85792,58117355.65756,90429503.56819,35691386.51128,0.0
2024-06-30,213757708.01421002,174576701.20497,49410337.986465,62625594.503295,269643124.4679,0.0,4200850.358625,2036.466255,60249088.64385,92932741.64373,37248627.88239,0.0
